seq,timestamp,EDA_raw
84548,1780495391.4606562,31
84549,1780495391.4606788,30
84550,1780495391.460682,29
84551,1780495391.460684,34
84552,1780495391.460686,33
84553,1780495391.4606879,32
84554,1780495391.46069,31
84555,1780495391.460692,32
84556,1780495391.460694,29
84557,1780495391.460696,35
84558,1780495391.4606998,29
84559,1780495391.464043,33
84560,1780495391.4640498,36
84561,1780495391.464053,31
84562,1780495391.464055,32
84563,1780495391.4640572,30
84564,1780495391.4640589,33
84565,1780495391.464061,34
84566,1780495391.464063,29
84567,1780495391.464064,32
84568,1780495391.464066,34
84569,1780495391.4640691,32
84570,1780495391.4660091,32
84571,1780495391.466017,31
84572,1780495391.4660192,33
84573,1780495391.466021,34
84574,1780495391.466023,30
84575,1780495391.4660249,33
84576,1780495391.466027,32
84577,1780495391.466031,31
84578,1780495391.466033,32
84579,1780495391.466035,34
84580,1780495391.469443,33
84581,1780495391.469463,33
84582,1780495391.4694662,32
84583,1780495391.4694679,33
84584,1780495391.46947,31
84585,1780495391.469472,32
84586,1780495391.4694731,30
84587,1780495391.469475,31
84588,1780495391.4694772,32
84589,1780495391.4694788,34
84590,1780495391.469483,31
84591,1780495391.502563,32
84592,1780495391.50258,33
84593,1780495391.502583,33
84594,1780495391.5025852,31
84595,1780495391.5025878,33
84596,1780495391.50259,31
84597,1780495391.502592,32
84598,1780495391.502594,32
84599,1780495391.502597,33
84600,1780495391.502601,32
84601,1780495391.503894,32
84602,1780495391.5079942,32
84603,1780495391.508,31
84604,1780495391.508003,31
84605,1780495391.5080051,32
84606,1780495391.508008,31
84607,1780495391.50801,32
84608,1780495391.508012,33
84609,1780495391.5080152,32
84610,1780495391.5080168,33
84611,1780495391.50802,31
84612,1780495391.5102,32
84613,1780495391.510209,31
84614,1780495391.5102122,32
84615,1780495391.5102148,32
84616,1780495391.510218,33
84617,1780495391.510221,32
84618,1780495391.5102239,31
84619,1780495391.510226,32
84620,1780495391.510229,32
84621,1780495391.510232,32
84622,1780495391.5102358,32
84623,1780495391.512426,32
84624,1780495391.512432,32
84625,1780495391.512457,32
84626,1780495391.51246,32
84627,1780495391.512463,32
84628,1780495391.512466,31
84629,1780495391.5124679,32
84630,1780495391.512471,32
84631,1780495391.512474,32
84632,1780495391.512477,32
84633,1780495391.512481,32
84634,1780495391.5475929,34
84635,1780495391.547611,32
84636,1780495391.547617,31
84637,1780495391.54762,33
84638,1780495391.5476239,31
84639,1780495391.547628,31
84640,1780495391.547633,32
84641,1780495391.547668,32
84642,1780495391.547672,32
84643,1780495391.547677,33
84644,1780495391.551214,33
84645,1780495391.551221,30
84646,1780495391.551224,32
84647,1780495391.5512261,31
84648,1780495391.5512278,31
84649,1780495391.551231,33
84650,1780495391.551233,33
84651,1780495391.5512362,32
84652,1780495391.5512378,32
84653,1780495391.55124,32
84654,1780495391.551243,31
84655,1780495391.553377,33
84656,1780495391.553382,32
84657,1780495391.5534022,31
84658,1780495391.553405,32
84659,1780495391.553407,31
84660,1780495391.55341,33
84661,1780495391.5534122,32
84662,1780495391.5534139,33
84663,1780495391.553416,32
84664,1780495391.553419,32
84665,1780495391.555586,33
84666,1780495391.5555918,31
84667,1780495391.555595,33
84668,1780495391.555597,33
84669,1780495391.5555992,32
84670,1780495391.5556018,31
84671,1780495391.555604,31
84672,1780495391.555607,32
84673,1780495391.555609,33
84674,1780495391.555611,31
84675,1780495391.555614,33
84676,1780495391.587538,33
84677,1780495391.58758,32
84678,1780495391.587583,32
84679,1780495391.5875862,31
84680,1780495391.587588,30
84681,1780495391.587591,33
84682,1780495391.587593,32
84683,1780495391.587596,32
84684,1780495391.587598,31
84685,1780495391.5876029,32
84686,1780495391.588438,31
84687,1780495391.5944781,31
84688,1780495391.5944881,30
84689,1780495391.5944908,32
84690,1780495391.5944939,33
84691,1780495391.594496,32
84692,1780495391.5944982,31
84693,1780495391.594502,32
84694,1780495391.5945039,31
84695,1780495391.594507,32
84696,1780495391.59451,33
84697,1780495391.594541,31
84698,1780495391.5966988,31
84699,1780495391.596709,31
84700,1780495391.596711,32
84701,1780495391.596714,32
84702,1780495391.596716,31
84703,1780495391.596718,32
84704,1780495391.596721,32
84705,1780495391.5967228,31
84706,1780495391.596726,32
84707,1780495391.596729,32
84708,1780495391.598925,33
84709,1780495391.598934,33
84710,1780495391.598936,31
84711,1780495391.598939,32
84712,1780495391.5989408,31
84713,1780495391.598943,32
84714,1780495391.5989451,31
84715,1780495391.598948,31
84716,1780495391.59895,33
84717,1780495391.598952,32
84718,1780495391.598956,32
84719,1780495391.6494231,32
84720,1780495391.649431,32
84721,1780495391.64945,32
84722,1780495391.649451,31
84723,1780495391.6494532,31
84724,1780495391.649454,31
84725,1780495391.649455,32
84726,1780495391.649456,32
84727,1780495391.649458,33
84728,1780495391.649459,31
84729,1780495391.64946,33
84730,1780495391.649462,32
84731,1780495391.653693,33
84732,1780495391.653696,32
84733,1780495391.653698,31
84734,1780495391.6536992,33
84735,1780495391.6537,32
84736,1780495391.653701,33
84737,1780495391.6537018,32
84738,1780495391.653704,31
84739,1780495391.653705,32
84740,1780495391.6558871,32
84741,1780495391.655892,33
84742,1780495391.655893,31
84743,1780495391.655895,32
84744,1780495391.655896,33
84745,1780495391.6558971,31
84746,1780495391.655898,31
84747,1780495391.6558988,32
84748,1780495391.655901,33
84749,1780495391.655912,32
84750,1780495391.655914,32
84751,1780495391.659777,32
84752,1780495391.6597812,33
84753,1780495391.659782,32
84754,1780495391.659783,33
84755,1780495391.6597838,31
84756,1780495391.65979,32
84757,1780495391.659791,31
84758,1780495391.659792,32
84759,1780495391.659793,33
84760,1780495391.6597939,31
84761,1780495391.659796,32
84762,1780495391.660872,32
84763,1780495391.660883,33
84764,1780495391.660886,33
84765,1780495391.6608891,32
84766,1780495391.6609101,32
84767,1780495391.660911,33
84768,1780495391.660913,32
84769,1780495391.660914,31
84770,1780495391.660915,31
84771,1780495391.6609159,32
84772,1780495391.664608,32
84773,1780495391.664615,31
84774,1780495391.664617,32
84775,1780495391.664618,32
84776,1780495391.664619,31
84777,1780495391.66462,33
84778,1780495391.664621,33
84779,1780495391.664622,32
84780,1780495391.664623,33
84781,1780495391.6646342,32
84782,1780495391.664636,31
84783,1780495391.718805,31
84784,1780495391.718814,32
84785,1780495391.718816,32
84786,1780495391.718817,31
84787,1780495391.718817,32
84788,1780495391.718818,32
84789,1780495391.7188191,33
84790,1780495391.71882,33
84791,1780495391.718821,31
84792,1780495391.718821,32
84793,1780495391.718823,32
84794,1780495391.721076,32
84795,1780495391.721078,32
84796,1780495391.721079,32
84797,1780495391.721079,32
84798,1780495391.72108,31
84799,1780495391.721081,31
84800,1780495391.7210822,31
84801,1780495391.721083,32
84802,1780495391.721083,32
84803,1780495391.7210848,32
84804,1780495391.725305,33
84805,1780495391.725308,31
84806,1780495391.725309,33
84807,1780495391.725309,33
84808,1780495391.7253098,33
84809,1780495391.725311,33
84810,1780495391.725312,31
84811,1780495391.725312,31
84812,1780495391.725313,32
84813,1780495391.7253141,32
84814,1780495391.725315,32
84815,1780495391.7293818,32
84816,1780495391.729386,32
84817,1780495391.729388,31
84818,1780495391.729389,33
84819,1780495391.7293901,32
84820,1780495391.729391,33
84821,1780495391.729392,32
84822,1780495391.729392,30
84823,1780495391.729393,31
84824,1780495391.729394,29
84825,1780495391.729395,31
84826,1780495391.731624,32
84827,1780495391.731626,33
84828,1780495391.731627,32
84829,1780495391.731627,32
